Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
89,89,ABCP APC BC IMPORT,ABCP,SOURCE,Active,Heartland Generation 1,APC,,,,,
93,93,ABSK APC SK IMPORT,ABSK,SOURCE,Active,Heartland Generation 1,APC,,,,,
96,96,ACBC BC IMPORT UNIT,ACBC,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
99,99,ACC EXPORT TO BCH #0,ACE0,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
100,100,ACE1 ACC EXPORT TO BCH #1,ACE1,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
101,101,ACE2 ACC EXPORT TO BCH #2,ACE2,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
102,102,ACE3 ACC EXPORT TO BCH #3,ACE3,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
103,103,ACE4 ACC EXPORT TO BCH #4,ACE4,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
104,104,ACE5 ACC EXPORT TO BCH #5,ACE5,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
105,105,ACE6 ACC EXPORT TO BCH #6,ACE6,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
106,106,ACE7 ACC EXPORT TO BCH #7,ACE7,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
107,107,ACC EXPORT TO BCH #8,ACE8,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
108,108,ACC EXPORT TO BCH #9,ACE9,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
109,109,ACEA ACC EXPORT TO SPC #A,ACEA,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
110,110,ACEB ACC EXPORT TO SPC #B,ACEB,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
111,111,ACEC ACC EXPORT TO SPC #C,ACEC,SINK,Retired,Aquila Canada Corp.,ACC,,,,,
112,112,ACC IMPORT FROM BCH #0,ACI0,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
113,113,ACC IMPORT FROM BCH #1,ACI1,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
114,114,ACC IMPORT FROM BCH #2,ACI2,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
115,115,ACC IMPORT FROM BCH #3,ACI3,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
116,116,ACC IMPORT FROM BCH #4,ACI4,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
117,117,ACC IMPORT FROM BCH #5,ACI5,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
118,118,ACC IMPORT FROM BCH #6,ACI6,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
119,119,ACC IMPORT FROM BCH #7,ACI7,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
120,120,ACC IMPORT FROM BCH #8,ACI8,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
121,121,ACC IMPORT FROM BCH #9,ACI9,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
122,122,ACC IMPORT FROM SPC #A,ACIA,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
123,123,ACC IMPORT FROM SPC #B,ACIB,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
124,124,ACC IMPORT FROM SPC #C,ACIC,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
128,128,ACSK SASK IMPORT UNIT,ACSK,SOURCE,Retired,Aquila Canada Corp.,ACC,,,,,
140,140,AEBC AEI BC IMPORT,AEBC,SOURCE,Retired,Avista Energy Inc.,AEI,,,,,
149,149,AEXB AEI BC EXPORT,AEXB,SINK,Retired,Avista Energy Inc.,AEI,,,,,
217,217,APBC BC IMPORT UNIT,APBC,SOURCE,Retired,ATCO Electric,APL,,,,,
222,222,APL IMPORT FROM SPC,API1,SOURCE,Retired,ATCO Electric,APL,,,,,
223,223,APL IMPORT FROM BCH,API2,SOURCE,Retired,ATCO Electric,APL,,,,,
224,224,APL IMPORT FROM SPC,API3,SOURCE,Retired,ATCO Electric,APL,,,,,
229,229,APMT APC MT IMPORT,APMT,SOURCE,Active,Heartland Generation 1,APC,,,,,
238,238,APSK SASK IMPORT UNIT,APSK,SOURCE,Retired,ATCO Electric,APL,,,,,
240,240,APX1 APL EXPORT TO SPC,APX1,SINK,Retired,ATCO Electric,APL,,,,,
241,241,APX2 APL EXPORT TO SPC,APX2,SINK,Retired,ATCO Electric,APL,,,,,
242,242,APX3 APL EXPORT TO SPC,APX3,SINK,Retired,ATCO Electric,APL,,,,,
243,243,APX4 APL EXPORT TO SPC,APX4,SINK,Retired,ATCO Electric,APL,,,,,
244,244,APX5 APL EXPORT TO BCH,APX5,SINK,Retired,ATCO Electric,APL,,,,,
245,245,APX6 APL EXPORT TO BCH,APX6,SINK,Retired,ATCO Electric,APL,,,,,
246,246,APX7 APL EXPORT TO BCH,APX7,SINK,Retired,ATCO Electric,APL,,,,,
247,247,APX8 APL EXPORT TO BCH,APX8,SINK,Retired,ATCO Electric,APL,,,,,
248,248,APXB APC BC EXPORT,APXB,SINK,Active,Heartland Generation 1,APC,,,,,
