ASSET_ID,REGION,ASSET_TYPE,POOL_ID
ABCP,IMPORT_BC,SOURCE,APC
ABSK,IMPORT_SK,SOURCE,APC
APMT,IMPORT_MT,SOURCE,APC
APXB,EXPORT_BC,SINK,APC
APXM,EXPORT_MT,SINK,APC
APXS,EXPORT_SK,SINK,APC
BRBC,IMPORT_BC,SOURCE,ETML
BRMT,IMPORT_MT,SOURCE,ETML
BRSK,IMPORT_SK,SOURCE,ETML
BRXB,EXPORT_BC,SINK,ETML
BRXM,EXPORT_MT,SINK,ETML
BRXS,EXPORT_SK,SINK,ETML
CSBC,IMPORT_BC,SOURCE,CONS
CSMT,IMPORT_MT,SOURCE,CONS
CSSK,IMPORT_SK,SOURCE,CONS
CSXB,EXPORT_BC,SINK,CONS
CSXM,EXPORT_SK,SINK,CONS
CSXS,EXPORT_SK,SINK,CONS
CWBC,IMPORT_BC,SOURCE,CAWP
CWMT,IMPORT_MT,SOURCE,CAWP
CWSK,IMPORT_SK,SOURCE,CAWP
CWXB,EXPORT_SK,SINK,CAWP
CWXM,EXPORT_MT,SINK,CAWP
CWXS,EXPORT_SK,SINK,CAWP
DMBC,IMPORT_BC,SOURCE,DEMI
DMMT,IMPORT_MT,SOURCE,DEMI
DMXB,EXPORT_BC,SINK,DEMI
DMXM,EXPORT_MT,SINK,DEMI
DYBC,IMPORT_BC,SOURCE,DYNS
DYMT,IMPORT_MT,SOURCE,DYNS
DYSK,IMPORT_SK,SOURCE,DYNS
DYXB,EXPORT_BC,SINK,DYNS
DYXM,EXPORT_MT,SINK,DYNS
DYXS,EXPORT_SK,SINK,DYNS
ECBC,IMPORT_BC,SOURCE,ENCR
ECMT,IMPORT_MT,SOURCE,ENCR
ECSK,IMPORT_SK,SOURCE,ENCR
EEBC,IMPORT_BC,SOURCE,EEMI
EEMT,IMPORT_MT,SOURCE,EEMI
EESK,IMPORT_SK,SOURCE,EEMI
EEXB,EXPORT_BC,SINK,EEMI
EEXM,EXPORT_MT,SINK,EEMI
EEXS,EXPORT_SK,SINK,EEMI
EGBC,IMPORT_BC,SOURCE,EGLE
EGMT,IMPORT_MT,SOURCE,EGLE
EGXB,EXPORT_BC,SINK,EGLE
EGXM,EXPORT_MT,SINK,EGLE
EMXB,EXPORT_BC,SINK,ENCR
EMXM,EXPORT_MT,SINK,ENCR
EMXS,EXPORT_SK,SINK,ENCR
ESBC,IMPORT_BC,SOURCE,TCES
ESMT,IMPORT_MT,SOURCE,TCES
